#shard	records	path
tspi	1	devsurface/data/symbols/tspi.jsonl
tuple	6	devsurface/data/symbols/tuple.jsonl
tux	46	devsurface/data/symbols/tux.jsonl
tvout	1	devsurface/data/symbols/tvout.jsonl
uhcdddsi	1	devsurface/data/symbols/uhcdddsi.jsonl
unimodem	6	devsurface/data/symbols/unimodem.jsonl
unknown-header	6546	devsurface/data/symbols/unknown-header.part-01.jsonl
unknown-header	6563	devsurface/data/symbols/unknown-header.part-02.jsonl
unknown-header	6532	devsurface/data/symbols/unknown-header.part-03.jsonl
unknown-header	97	devsurface/data/symbols/unknown-header.part-04.jsonl
unknwn	11	devsurface/data/symbols/unknwn.jsonl
updownview	4	devsurface/data/symbols/updownview.jsonl
upnp	109	devsurface/data/symbols/upnp.jsonl
upnpdevapi	32	devsurface/data/symbols/upnpdevapi.jsonl
upnphost	29	devsurface/data/symbols/upnphost.jsonl
urlmon	326	devsurface/data/symbols/urlmon.jsonl
urlmonui	2	devsurface/data/symbols/urlmonui.jsonl
usb100	6	devsurface/data/symbols/usb100.jsonl
usbclient	22	devsurface/data/symbols/usbclient.jsonl
usbd	24	devsurface/data/symbols/usbd.jsonl
usbddrv.cpp	2	devsurface/data/symbols/usbddrv.cpp.jsonl
usbdi	56	devsurface/data/symbols/usbdi.jsonl
usbfntypes	1	devsurface/data/symbols/usbfntypes.jsonl
usbmsc	2	devsurface/data/symbols/usbmsc.jsonl
usbtypes	6	devsurface/data/symbols/usbtypes.jsonl
user-defined	1	devsurface/data/symbols/user-defined.jsonl
usp10	45	devsurface/data/symbols/usp10.jsonl
uxtheme	8	devsurface/data/symbols/uxtheme.jsonl
voipconfigurationdatastore	9	devsurface/data/symbols/voipconfigurationdatastore.jsonl
voiperrorcodes	4	devsurface/data/symbols/voiperrorcodes.jsonl
voiplap	5	devsurface/data/symbols/voiplap.jsonl
voipmanager	115	devsurface/data/symbols/voipmanager.jsonl
voipmediamanager	42	devsurface/data/symbols/voipmediamanager.jsonl
voipprov	7	devsurface/data/symbols/voipprov.jsonl
voipstore	80	devsurface/data/symbols/voipstore.jsonl
waveddsi	44	devsurface/data/symbols/waveddsi.jsonl
wavedev	4	devsurface/data/symbols/wavedev.jsonl
wavemdd	10	devsurface/data/symbols/wavemdd.jsonl
waveui.c	4	devsurface/data/symbols/waveui.c.jsonl
wceemul	3	devsurface/data/symbols/wceemul.jsonl
wdbgexts	19	devsurface/data/symbols/wdbgexts.jsonl
wdbgexts_ce	20	devsurface/data/symbols/wdbgexts_ce.jsonl
wdm.h-or-ntddk	2	devsurface/data/symbols/wdm.h-or-ntddk.jsonl
webproxy	9	devsurface/data/symbols/webproxy.jsonl
webvw	68	devsurface/data/symbols/webvw.jsonl
winbase	512	devsurface/data/symbols/winbase.jsonl
winber	26	devsurface/data/symbols/winber.jsonl
wincrypt	530	devsurface/data/symbols/wincrypt.jsonl
windbase	208	devsurface/data/symbols/windbase.jsonl
winddi	78	devsurface/data/symbols/winddi.jsonl
windef	16	devsurface/data/symbols/windef.jsonl
windev	4	devsurface/data/symbols/windev.jsonl
windns	32	devsurface/data/symbols/windns.jsonl
windot11	101	devsurface/data/symbols/windot11.jsonl
windows	318	devsurface/data/symbols/windows.jsonl
windows-embedded-ce	24	devsurface/data/symbols/windows-embedded-ce.jsonl
