#symbol	book_count	per_book(book|kind|header|library)
_min_ob	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_MINIDUMP_DIRECTORY	2	mslearn-windows-ce-5.0|struct|DwCeDump.h|	mslearn-windows-embedded-ce-6.0|struct||
_MINIDUMP_HEADER	2	mslearn-windows-ce-5.0|struct|DwCeDump.h|	mslearn-windows-embedded-ce-6.0|struct||
_MINIDUMP_LOCATION_DESCRIPTOR	2	mslearn-windows-ce-5.0|struct|DwCeDump.h|	mslearn-windows-embedded-ce-6.0|struct||
_MINIDUMP_MEMORY_DESCRIPTOR	2	mslearn-windows-ce-5.0|struct|DwCeDump.h|DwDmpTxt.lib	mslearn-windows-embedded-ce-6.0|struct||dwdmptxt.lib
_MINIDUMP_STREAM_TYPE	2	mslearn-windows-ce-5.0|enum|DwCeDump.h|	mslearn-windows-embedded-ce-6.0|enum||
_MINIDUMP_STRING	2	mslearn-windows-ce-5.0|struct|DwCeDump.h|	mslearn-windows-embedded-ce-6.0|struct||
_mov_ps	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_mov_sl	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_mov_su	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_mov_vl	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_mov_vu	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_movf_ps	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_movn_ps	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_movt_ps	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_movz_ps	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_MsgBox	3	mslearn-uncategorized|function||	mslearn-windows-ce-5.0|function||	mslearn-windows-embedded-ce-6.0|function||
_msize	1	mslearn-windows-ce-5.0|function|stdlib.h|coredll.dll
_msub_ps	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_msub_sl	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_msub_su	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_msub_vl	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_msub_vu	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_mul_ob	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_mul_ps	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_mul_sl	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_mul_su	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
